fecha,cLabPrivado,cHospPrivado,cINDRE,cTotalNL
05/01,296,67,374,737
05/02,296,67,410,773
05/03,306,67,426,799
05/04,312,67,449,828
05/05,314,67,469,850
05/06,327,67,515,909
05/07,327,67,568,962
05/08,329,67,591,987
05/09,334,67,614,1015
05/10,340,67,646,1053
05/11,341,67,667,1075
05/12,369,67,675,1111
05/13,396,67,720,1183
05/14,429,67,752,1248
05/15,442,67,780,1289
05/16,517,67,801,1385
05/17,546,67,866,1479
05/18,593,67,932,1592
05/19,638,67,974,1679
05/20,658,67,1016,1741
05/21,705,67,1048,1820
05/22,744,67,1077,1888
05/23,801,67,1117,1985
05/24,886,67,1162,2115
05/25,892,67,1207,2166
05/26,971,67,1253,2291
05/27,995,67,1281,2343
05/28,1011,111,1341,2463
05/29,1088,111,1426,2625
05/30,1145,111,1458,2714
05/31,1192,142,1481,2815
06/01,1206,147,1545,2898
06/02,1246,147,1603,2996
06/03,1297,147,1658,3102
06/04,1324,147,1782,3253
06/05,1414,147,1860,3421
06/06,1495,147,1919,3561
06/07,1606,147,1976,3729
06/08,1721,147,2045,3913
06/09,1795,147,2122,4064
06/10,1851,147,2214,4212
06/11,1879,147,2362,4388
06/12,1931,147,2501,4579
06/13,2026,147,2608,4781
06/14,2130,147,2686,4963
06/15,2184,147,2844,5175
06/16,2251,147,3001,5399
06/17,2315,147,3186,5648
06/18,2371,147,3384,5902
06/19,2498,147,3498,6143
06/20,2583,147,3687,6417
06/21,2649,147,3912,6708
06/22,2701,147,4210,7058
06/23,1767,147,4482,7396
06/24,2970,147,4668,7785
06/25,3097,147,4949,8193
06/26,3305,147,5113,8565
06/27,3576,147,5451,9174
06/28,3995,147,5644,9786
06/29,4377,147,5865,10389
06/30,4736,147,6176,11059
07/01,5076,147,6529,11752
07/02,5498,147,6743,12388
07/03,5970,147,6922,13039
07/04,6270,147,7337,13754
07/05,6720,147,7622,14489
07/06,7079,147,7925,15151
07/07,7381,147,8406,15934
07/08,7721,147,8797,16665
07/09,8147,147,9114,17408
07/10,8256,315,9496,18067
07/11,8479,315,9950,18744
07/12,8711,315,10331,19357
07/13,8906,353,10728,19987
07/14,9249,359,11114,20722
07/15,9315,370,11674,21359
07/16,9506,410,11990,21906
07/17,9728,422,12348,22498
07/18,9927,430,12836,23193
07/19,10230,430,13360,24020
07/20,10638,430,13753,24821
07/21,10809,473,14196,25478
07/22,11069,483,14589,26141
