fecha,total
2020-04-11,192
2020-04-12,201
2020-04-13,208
2020-04-14,216
2020-04-15,230
2020-04-16,241
2020-04-17,246
2020-04-18,258
2020-04-19,271
2020-04-20,283
2020-04-21,301
2020-04-22,331
2020-04-23,496
2020-04-24,536
2020-04-25,604
2020-04-26,613
2020-04-27,636
2020-04-28,646
2020-04-29,664
2020-04-30,686
2020-05-01,737
2020-05-02,773
2020-05-03,799
2020-05-04,828
2020-05-05,850
2020-05-06,909
2020-05-07,962
2020-05-08,987
2020-05-09,1015
2020-05-10,1053
2020-05-11,1075
2020-05-12,1111
2020-05-13,1183
2020-05-14,1248
2020-05-15,1289
2020-05-16,1385
2020-05-17,1479
2020-05-18,1592
2020-05-19,1679
2020-05-20,1741
2020-05-21,1820
2020-05-22,1888
2020-05-23,1985
2020-05-24,2115
2020-05-25,2166
2020-05-26,2291
2020-05-27,2343
2020-05-28,2463
2020-05-29,2625
2020-05-30,2714
2020-05-31,2815
2020-06-01,2898
2020-06-02,2996
2020-06-03,3102
2020-06-04,3253
2020-06-05,3421
2020-06-06,3561
2020-06-07,3729
2020-06-08,3913
2020-06-09,4064
2020-06-10,4212
2020-06-11,4388
2020-06-12,4579
2020-06-13,4781
2020-06-14,4963
2020-06-15,5175
2020-06-16,5399
2020-06-17,5648
2020-06-18,5902
2020-06-19,6143
2020-06-20,6417
2020-06-21,6708
2020-06-22,7058
2020-06-23,7396
2020-06-24,7785
2020-06-25,8193
2020-06-26,8565
2020-06-27,9174
2020-06-28,9786
2020-06-29,10389
2020-06-30,11059
2020-07-01,11752
2020-07-02,12388
2020-07-03,13039
2020-07-04,13754
2020-07-05,14489
2020-07-06,15151
2020-07-07,15934
2020-07-08,16665
2020-07-09,17408
2020-07-10,18067
2020-07-11,18744
2020-07-12,19357
2020-07-13,19987
2020-07-14,20722
2020-07-15,21359
2020-07-16,21906
2020-07-17,22498
2020-07-18,23193
2020-07-19,24020
2020-07-20,24821
2020-07-21,25478
2020-07-22,26141
2020-07-23,26586
2020-07-24,27592
2020-07-25,28349
2020-07-26,29118
2020-07-27,29920
2020-07-28,30730
2020-07-29,31413
2020-07-30,32001
2020-07-31,32632
2020-08-01,33203
2020-08-02,33625
2020-08-03,34294
2020-08-04,34946
2020-08-05,35402
2020-08-06,35975
2020-08-07,36670
2020-08-08,37362
2020-08-09,38006
2020-08-10,38655
2020-08-11,39343
2020-08-12,40008
2020-08-13,40626
2020-08-14,41314
2020-08-15,41950
2020-08-16,42570
2020-08-17,43107
2020-08-18,43625
2020-08-19,44110
2020-08-20,44583
2020-08-21,45072
2020-08-22,45568
2020-08-23,46023
2020-08-24,46524
2020-08-25,47023
2020-08-26,47499
2020-08-27,47973
2020-08-28,48473
2020-08-29,48940
2020-08-30,49457
2020-08-31,50026
