fecha,tLabPrivado,tHospPrivado,tINDRE,tExaminados
05/01,3406,2348,5807,11561
05/02,3406,2348,6017,11771
05/03,3948,2348,6147,12443
05/04,4416,2348,6276,13040
05/05,4442,2348,6416,13206
05/06,4597,2348,6567,13512
05/07,4597,2348,6843,13788
05/08,4910,2348,7041,14299
05/09,5044,2348,7263,14655
05/10,5115,2348,7370,14833
05/11,5155,2348,7658,15161
05/12,6007,2348,7982,16337
05/13,6034,2348,8283,16665
05/14,6105,2348,8600,17053
05/15,6174,2348,8855,17377
05/16,6620,2348,9184,18152
05/17,6817,2348,9393,18558
05/18,7211,2348,9734,19293
05/19,7464,2348,9896,19708
05/20,7610,2348,10087,20045
05/21,8217,2348,10305,20870
05/22,8713,2348,10743,21804
05/23,9047,2348,11086,22481
05/24,9406,2348,11456,23210
05/25,9466,2348,11740,23554
05/26,10803,2348,12073,25224
05/27,11128,2348,12391,25867
05/28,11329,2892,12682,26903
05/29,12160,2892,13237,28289
05/30,13727,2892,13877,30496
05/31,14056,3423,14339,31818
06/01,14211,3929,14579,32719
06/02,14485,3929,15134,33548
06/03,14541,3929,15205,33675
06/04,14864,3929,15587,34380
06/05,15900,3929,15895,35724
06/06,18748,3929,16390,39067
06/07,19333,3929,16826,40088
06/08,21358,3929,17434,42721
06/09,21772,3929,18333,44034
06/10,21928,3929,18645,44502
06/11,22039,3929,19150,45118
06/12,23172,3929,19735,46836
06/13,23623,3929,20532,48084
06/14,24360,3929,21186,49475
06/15,25127,3929,21617,50673
06/16,25883,3929,21942,51754
06/17,26747,3929,22513,53189
06/18,27171,3929,23535,54635
06/19,27952,3929,24024,55905
06/20,29324,3929,24465,57718
06/21,29682,3929,24797,58408
06/22,29915,3929,25477,59321
06/23,30137,3929,25639,59705
06/24,31140,3929,26332,61401
06/25,31853,3929,26989,62771
06/26,32762,3929,27544,64235
06/27,33734,3929,28099,65762
06/28,35959,3929,28771,68659
06/29,37583,3929,29329,70841
06/30,38681,3929,29609,72219
07/01,39673,3929,30354,73956
07/02,41194,3929,30947,76070
07/03,42897,3929,31464,78290
07/04,44642,3929,32274,80845
07/05,46623,3929,32435,82987
07/06,47556,3929,32997,84482
07/07,48483,3929,33346,85758
07/08,49412,3929,34325,87666
07/09,50740,3929,35467,90136
07/10,51173,4347,36242,91762
07/11,51824,4347,37182,93353
07/12,52567,4347,38139,95053
07/13,53462,4445,38537,96444
07/14,54470,4466,39020,97956
07/15,55118,4502,39858,99478
07/16,55753,4641,40386,100780
07/17,56306,4693,41322,102321
07/18,57013,4722,42148,103883
07/19,57918,4722,42920,105560
07/20,58769,4722,43457,106948
07/21,58940,4860,44191,107991
07/22,59922,4905,44562,109389
